city,east,north,south,west,lat,lng
"WALDORF, MD",-76.7905483,38.6665124,38.586512400000004,-77.0305483,38.6265124,-76.9105483
"DUBUQUE, IA",-90.54774789999999,42.5463629,42.4663629,-90.7877479,42.5063629,-90.6677479
"WYLIE, TX",-96.41911529999999,33.046272699999996,32.9662727,-96.6591153,33.0062727,-96.53911529999999
"MARYSVILLE, WA",-122.05708179999999,48.0917637,48.0117637,-122.2970818,48.0517637,-122.1770818
"COEUR D ALENE, ID",-116.6612225,47.7134632,47.6334632,-116.9012225,47.6734632,-116.7812225
"ELYRIA, OH",-81.98764859999999,41.4083798,41.3283798,-82.2276486,41.3683798,-82.10764859999999
"COMPTON, CA",-118.1000712,33.9358492,33.8558492,-118.34007120000001,33.8958492,-118.2200712
"YORBA LINDA, CA",-117.6932571,33.92850350000001,33.848503500000014,-117.9332571,33.88850350000001,-117.8132571
"CRESTVIEW, FL",-86.4527995,30.7941808,30.7141808,-86.6927995,30.7541808,-86.5727995
"BRUNSWICK, GA",-81.3678157,31.1910919,31.1110919,-81.6078157,31.1510919,-81.4878157
"LA PUENTE, CA",-117.8295083,34.0600114,33.9800114,-118.06950830000001,34.0200114,-117.9495083
"FARGO, ND",-96.66980339999999,46.9171863,46.8371863,-96.9098034,46.8771863,-96.7898034
"DOVER, DE",-75.4043682,39.198168,39.118168000000004,-75.6443682,39.158168,-75.5243682
"SAN MATEO, CA",-122.2055254,37.6029917,37.5229917,-122.44552540000001,37.5629917,-122.3255254
"COMMERCE CITY, CO",-104.8138675,39.848319599999996,39.7683196,-105.05386750000001,39.8083196,-104.9338675
"NEW CASTLE, PA",-80.22700900000001,41.0436719,40.9636719,-80.46700900000002,41.0036719,-80.34700900000001
"NORTH RICHLAND HILLS, TX",-97.10890289999999,32.8742952,32.7942952,-97.3489029,32.8342952,-97.2289029
"GLEN BURNIE, MD",-76.5046886,39.2026084,39.122608400000004,-76.7446886,39.1626084,-76.6246886
"ZANESVILLE, OH",-81.89319239999999,39.980345299999996,39.9003453,-82.1331924,39.9403453,-82.0131924
"GREENVILLE, NC",-77.2463538,35.652661,35.572661000000004,-77.4863538,35.612661,-77.3663538
"ANKENY, IA",-93.48012779999999,41.7717884,41.6917884,-93.7201278,41.7317884,-93.6001278
"BARTLETT, TN",-89.7539753,35.2445328,35.1645328,-89.9939753,35.2045328,-89.8739753
"ROCHESTER HILLS, MI",-83.02993219999999,42.69836609999999,42.61836609999999,-83.2699322,42.65836609999999,-83.1499322
"LEESBURG, FL",-81.75785819999999,28.850823,28.770823,-81.9978582,28.810823,-81.87785819999999
"CROSSVILLE, TN",-84.9069014,35.9889566,35.9089566,-85.1469014,35.9489566,-85.0269014
"YUBA CITY, CA",-121.4969108,39.1804477,39.100447700000004,-121.7369108,39.1404477,-121.6169108
"BONITA SPRINGS, FL",-81.65869719999999,26.379806,26.299806,-81.8986972,26.339806,-81.7786972
"PLEASANTON, CA",-121.7557968,37.7004484,37.6204484,-121.99579680000001,37.6604484,-121.8757968
"REDMOND, WA",-122.00151199999999,47.7139881,47.6339881,-122.241512,47.6739881,-122.121512
"JEFFERSON CITY, MO",-92.05351639999999,38.61670170000001,38.53670170000001,-92.2935164,38.57670170000001,-92.1735164
"MARRERO, LA",-89.9803506,29.9393723,29.8593723,-90.2203506,29.8993723,-90.1003506
"GRESHAM, OR",-122.3156657,45.5444715,45.4644715,-122.5556657,45.5044715,-122.4356657
"OVIEDO, FL",-81.08812029999999,28.709996999999998,28.629997,-81.3281203,28.669997,-81.20812029999999
"GIG HARBOR, WA",-122.46012929999999,47.36926399999999,47.28926399999999,-122.7001293,47.32926399999999,-122.5801293
"SANTA CRUZ, CA",-121.9107963,37.0141171,36.9341171,-122.15079630000001,36.9741171,-122.0307963
"COOKEVILLE, TN",-85.3816423,36.202839,36.122839,-85.6216423,36.162839,-85.5016423
"BENTON, AR",-92.46537799999999,34.6093083,34.529308300000004,-92.705378,34.5693083,-92.58537799999999
"ARLINGTON HEIGHTS, IL",-87.86062650000001,42.1283603,42.0483603,-88.10062650000002,42.0883603,-87.8062650000001
"SHELBY, NC",-81.41564629999999,35.3323513,35.2523513,-81.6556463,35.2923513,-81.5356463
"DUBLIN, OH",-82.9940771,40.1392294,40.0592294,-83.23407710000001,40.0992294,-83.1140771
"SHELBY TOWNSHIP, MI",-82.9138608,42.7095739,42.629573900000004,-83.1538608,42.6695739,-83.0338608
"BURBANK, CA",-118.1889661,34.2208392,34.1408392,-118.42896610000001,34.1808392,-118.3089661
"CHAMPAIGN, IL",-88.1233829,40.1564204,40.0764204,-88.3633829,40.1164204,-88.2433829
"ALEXANDRIA, LA",-92.32513709999999,31.351293599999998,31.2712936,-92.5651371,31.3112936,-92.4451371
"SEVIERVILLE, TN",-83.44183500000001,35.908145499999996,35.8281455,-83.68183500000002,35.8681455,-83.6183500000002
"CHINO HILLS, CA",-117.6125848,34.0298188,33.9498188,-117.8525848,33.9898188,-117.7325848
"FALLS CHURCH, VA",-77.05109139999999,38.922334000000006,38.84233400000001,-77.2910914,38.88233400000001,-77.1710914
"TWIN FALLS, ID",-114.35005179999999,42.5958381,42.5158381,-114.5900518,42.5558381,-114.4700518
"LYNNWOOD, WA",-122.1951313,47.8609301,47.7809301,-122.43513130000001,47.8209301,-122.3151313
"NEWARK, OH",-82.2812642,40.0981205,40.0181205,-82.5212642,40.0581205,-82.4012642
"PALM BEACH GARDENS, FL",-79.9819144,26.8796096,26.7996096,-80.2219144,26.8396096,-80.1019144
"LEVITTOWN, PA",-74.70877469999999,40.1951096,40.115109600000004,-74.9487747,40.1551096,-74.8287747
"SANTA CLARA, CA",-121.83523559999999,37.3941079,37.3141079,-122.0752356,37.3541079,-121.9552356
"RICHLAND, WA",-119.15519959999999,46.320420000000006,46.24042000000001,-119.3951996,46.28042000000001,-119.2751996
"BOLINGBROOK, IL",-87.94839549999999,41.73864159999999,41.65864159999999,-88.1883955,41.69864159999999,-88.0683955
"LA QUINTA, CA",-116.1900095,33.7033573,33.6233573,-116.43000950000001,33.6633573,-116.3100095
"STAMFORD, CT",-73.4187341,41.0934302,41.0134302,-73.6587341,41.0534302,-73.5387341
"ROSWELL, NM",-104.40302419999999,33.4342655,33.354265500000004,-104.6430242,33.3942655,-104.5230242
"PHENIX CITY, AL",-84.8807653,32.5109761,32.4309761,-85.1207653,32.4709761,-85.0007653
"BELLEVUE, NE",-95.80624979999999,41.196700299999996,41.1167003,-96.0462498,41.1567003,-95.9262498
"SALISBURY, MD",-75.4793692,38.4006736,38.3206736,-75.7193692,38.3606736,-75.5993692
"POMPANO BEACH, FL",-80.00476669999999,26.2778597,26.197859700000002,-80.2447667,26.2378597,-80.1247667
"DOWNEY, CA",-118.0131593,33.9801088,33.9001088,-118.25315930000001,33.9401088,-118.1331593
"BALLWIN, MO",-90.42623389999999,38.6350532,38.5550532,-90.6662339,38.5950532,-90.54623389999999
"MANCHESTER, NH",-71.3347891,43.0356397,42.9556397,-71.5747891,42.9956397,-71.4547891
